DATE,TIME,CLASS,
"May 23, 2022",6:00 pm,5 days Vinyasa Yoga Challenge - Sumit Manav,
"May 22, 2022",6:00 pm,5 days Vinyasa Yoga Challenge - Sumit Manav,
"May 21, 2022",12:00 pm,5 days Vinyasa Yoga Challenge - Sumit Manav,
"May 20, 2022",6:30 pm,Classical Hatha Yoga - Lifestyle Yoga,
"May 19, 2022",6:30 pm,Flexi flow - Lifestyle Yoga,
"May 18, 2022",6:30 pm,Mobility Yoga - Lifestyle Yoga,
"May 16, 2022",6:30 pm,Music Beat Power Yoga - Lifestyle Yoga,
"May 13, 2022",6:30 pm,Classical Hatha Yoga - Lifestyle Yoga,
"May 12, 2022",6:30 pm,Yin Yoga - Lifestyle Yoga,
"May 11, 2022",6:30 pm,Mobility Yoga - Lifestyle Yoga,
"May 10, 2022",6:30 pm,Suksham Yoga - Lifestyle Yoga,
"May 9, 2022",6:30 pm,Music Beat Power Yoga - Lifestyle Yoga,
"May 6, 2022",6:30 pm,Classical Hatha Yoga - Lifestyle Yoga,
"Apr 29, 2022",5:15 pm,Spine Healing - Lifestyle Yoga,
"Apr 28, 2022",5:15 pm,YogiNa or Vinyasa Flow - Lifestyle Yoga,
"Apr 26, 2022",5:15 pm,Dynamic Vinyasa - Lifestyle Yoga,
"Apr 25, 2022",5:15 pm,Yoga-Tox - Lifestyle Yoga,
"Apr 24, 2022",5:15 pm,Classical Hatha Yoga - Lifestyle Yoga,
"Apr 14, 2022",5:15 pm,YogiNa or Vinyasa Flow - Lifestyle Yoga,
"Apr 13, 2022",5:15 pm,Yoga Alignment - Lifestyle Yoga,
"Apr 12, 2022",5:15 pm,Dynamic Vinyasa - Lifestyle Yoga,
"Apr 11, 2022",5:15 pm,Yoga-Tox - Lifestyle Yoga,
"Apr 10, 2022",5:15 pm,Yoga Alignment - Lifestyle Yoga,
"Apr 8, 2022",4:00 pm,Ramadan yoga online - Lifestyle Yoga,
"Apr 7, 2022",5:15 pm,YogiNa or Vinyasa Flow - Lifestyle Yoga,
"Apr 6, 2022",5:15 pm,Music Beat Power Yoga - Lifestyle Yoga,
"Apr 5, 2022",4:00 pm,Ramadan yoga online - Lifestyle Yoga,
"Apr 4, 2022",5:15 pm,Yoga-Tox - Lifestyle Yoga,
"Mar 31, 2022",6:30 pm,Yoga-Strong - Lifestyle Yoga,
"Mar 29, 2022",6:30 pm,Chakra Yoga Flow - Lifestyle Yoga,
"Mar 28, 2022",6:30 pm,YogiNa or Vinyasa Flow - Lifestyle Yoga,
"Mar 27, 2022",6:30 pm,Suksham Yoga - Sumit Manav,
"Mar 25, 2022",6:30 pm,Yoga-Tox - Sumit Manav,
"Mar 24, 2022",6:30 pm,Mobility Yoga - Lifestyle Yoga,
"Mar 21, 2022",6:30 pm,Dynamic Vinyasa - Lifestyle Yoga,
"Mar 20, 2022",6:30 pm,Suksham Yoga - Sumit Manav,
"Mar 18, 2022",6:30 pm,Music Beat Power Yoga - Lifestyle Yoga,
"Mar 17, 2022",6:30 pm,Yoga-Strong - Lifestyle Yoga,
"Mar 16, 2022",6:30 pm,Agni Yoga (Medium to Advance) - Lifestyle Yoga,
"Mar 15, 2022",6:30 pm,Mobility Yoga - Lifestyle Yoga,
"Mar 14, 2022",6:30 pm,Dynamic Vinyasa - Lifestyle Yoga,
"Mar 8, 2022",6:00 pm,Agni Yoga (Medium to Advance) - Lifestyle Yoga,
"Mar 7, 2022",6:30 pm,Dynamic Vinyasa - Lifestyle Yoga,
"Mar 6, 2022",6:00 pm,Yin Yoga - Lifestyle Yoga,
"Mar 4, 2022",6:00 pm,Yoga-Tox - Lifestyle Yoga,
"Mar 3, 2022",6:00 pm,Mobility Yoga - Lifestyle Yoga,
"Mar 2, 2022",6:30 pm,Classical Hatha Yoga - Lifestyle Yoga,
"Mar 1, 2022",6:00 pm,Agni Yoga (Medium to Advance) - Lifestyle Yoga,
"Feb 28, 2022",6:30 pm,Dynamic Vinyasa - Lifestyle Yoga,
"Feb 25, 2022",6:30 pm,Yoga-Tox - Lifestyle Yoga,
"Feb 24, 2022",6:00 pm,Mobility Yoga - Lifestyle Yoga,
"Feb 22, 2022",6:30 pm,Yin & Yang - Lifestyle Yoga,
"Feb 18, 2022",6:30 pm,Yoga-Tox - Lifestyle Yoga,
"Feb 17, 2022",6:30 pm,Mobility Yoga - Lifestyle Yoga,
"Feb 16, 2022",6:30 pm,Classical Hatha Yoga - Lifestyle Yoga,
"Feb 15, 2022",6:30 pm,Yin & Yang - Lifestyle Yoga,
"Feb 14, 2022",6:30 pm,Dynamic Vinyasa - Lifestyle Yoga,
"Feb 11, 2022",6:30 pm,Yoga-Tox - Lifestyle Yoga,
"Feb 10, 2022",6:30 pm,Mobility Yoga - Sumit Manav,
"Feb 9, 2022",6:30 pm,Classical Hatha Yoga - Srishti Sharma,
"Feb 8, 2022",6:00 pm,Yin & Yang - Lifestyle Yoga,
"Feb 7, 2022",6:00 pm,Dynamic Vinyasa - Lifestyle Yoga,
"Feb 6, 2022",6:00 pm,Yin Yoga - Sumit Manav,
"Feb 4, 2022",6:00 pm,Yoga-Tox - Lifestyle Yoga,
"Feb 3, 2022",6:30 pm,Mobility Yoga - Lifestyle Yoga,
"Feb 1, 2022",6:00 pm,Yin & Yang - Lifestyle Yoga,
"Jan 31, 2022",6:00 pm,Dynamic Vinyasa - Lifestyle Yoga,
"Jan 30, 2022",6:30 pm,Yin Yoga - Lifestyle Yoga,
"Jan 29, 2022",12:00 pm,Backbend Workshop and Chakra Meditation - Srishti Sharma,
"Jan 28, 2022",6:30 pm,6 Days yoga and chakra awakening course - Tanu Dhawan,
"Jan 26, 2022",6:00 pm,6 Days yoga and chakra awakening course - Sumit Manav,
"Jan 25, 2022",7:00 pm,6 week transformative yoga - Lifestyle Yoga,
"Jan 24, 2022",7:00 pm,6 week transformative yoga - Lifestyle Yoga,
"Jan 23, 2022",11:30 am,Backbend Workshop and Chakra Meditation - Srishti Sharma,
"Jan 21, 2022",6:00 pm,Yoga-Tox - Sumit Manav,
"Jan 20, 2022",7:00 pm,6 week transformative yoga - Lifestyle Yoga,
"Jan 19, 2022",6:00 pm,Classical Hatha Yoga - Lifestyle Yoga,
"Jan 16, 2022",6:00 pm,Yin Yoga - Sumit Manav,
"Jan 14, 2022",6:00 pm,Yoga-Tox - Sumit Manav,
"Jan 13, 2022",7:00 pm,6 week transformative yoga - Lifestyle Yoga,
"Jan 12, 2022",6:00 pm,Classical Hatha Yoga - Lifestyle Yoga,
"Jan 11, 2022",7:00 pm,6 week transformative yoga - Lifestyle Yoga,
"Jan 10, 2022",6:00 pm,Dynamic Vinyasa - Sumit Manav,
"Jan 7, 2022",11:00 am,Yoga Alignment - Srishti Sharma,
"Jan 6, 2022",11:00 am,Yoga-Strong - Srishti Sharma,
"Jan 5, 2022",6:00 pm,Classical Hatha Yoga - Lifestyle Yoga,
"Jan 4, 2022",7:00 pm,6 week transformative yoga - Lifestyle Yoga,
"Jan 3, 2022",6:00 pm,Dynamic Vinyasa - Lifestyle Yoga,
"Dec 30, 2021",6:00 pm,31-Day's Yoga Intensified (Virtual) - Sumit Manav,
"Dec 29, 2021",6:30 pm,31-Day's Yoga Intensified (Virtual) - Sumit Manav,
"Dec 28, 2021",6:30 pm,31-Day's Yoga Intensified (Virtual) - Sumit Manav,
"Dec 27, 2021",6:30 pm,31-Day's Yoga Intensified (Virtual) - Sumit Manav,
"Dec 25, 2021",11:30 am,Classical Hatha Yoga - Lifestyle Yoga,
"Dec 19, 2021",6:00 pm,31-Day's Yoga Intensified (Virtual) - Sumit Manav,
"Dec 18, 2021",6:00 pm,Yin & Yang - Lifestyle Yoga,
"Dec 16, 2021",6:00 pm,31-Day's Yoga Intensified (Virtual) - Sumit Manav,
"Dec 15, 2021",6:30 pm,31-Day's Yoga Intensified (Virtual) - Sumit Manav,
"Dec 14, 2021",11:30 am,Yoga-Strong - Lifestyle Yoga,
"Dec 13, 2021",6:30 pm,31-Day's Yoga Intensified (Virtual) - Sumit Manav,
"Dec 12, 2021",6:00 pm,31-Day's Yoga Intensified (Virtual) - Sumit Manav,
"Dec 11, 2021",11:30 am,Classical Hatha Yoga - Lifestyle Yoga,
"Dec 8, 2021",6:30 pm,31-Day's Yoga Intensified (Virtual) - Sumit Manav,
"Dec 7, 2021",11:30 am,Yoga-Strong - Lifestyle Yoga,
"Dec 6, 2021",6:30 pm,31-Day's Yoga Intensified (Virtual) - Srishti Sharma,
"Dec 5, 2021",6:00 pm,31-Day's Yoga Intensified (Virtual) - Srishti Sharma,
"Dec 4, 2021",11:30 am,Classical Hatha Yoga - Lifestyle Yoga,
"Dec 2, 2021",6:00 pm,31-Day's Yoga Intensified (Virtual) - Sumit Manav,
"Dec 1, 2021",6:30 pm,31-Day's Yoga Intensified (Virtual) - Sumit Manav,
"Nov 30, 2021",11:00 am,YogiNa or Vinyasa Flow - Lifestyle Yoga,
"Nov 29, 2021",11:30 am,Classical Hatha Yoga - Lifestyle Yoga,
"Nov 27, 2021",11:30 am,Dynamic Vinyasa - Lifestyle Yoga,
"Nov 25, 2021",6:30 pm,YogiNa or Vinyasa Flow - Sumit Manav,
"Nov 24, 2021",11:00 am,Agni Yoga (Medium to Advance) - Lifestyle Yoga,
"Nov 23, 2021",6:30 pm,Mobility Yoga - Lifestyle Yoga,
"Nov 22, 2021",11:30 am,Classical Hatha Yoga - Lifestyle Yoga,
"Nov 21, 2021",6:30 pm,Agni Yoga (Medium to Advance) - Lifestyle Yoga,
"Nov 17, 2021",11:30 am,Agni Yoga (Medium to Advance) - Lifestyle Yoga,
"Nov 16, 2021",6:30 pm,Mobility Yoga - Lifestyle Yoga,
"Nov 15, 2021",11:30 am,Classical Hatha Yoga - Lifestyle Yoga,
"Nov 13, 2021",11:30 am,Dynamic Vinyasa - Lifestyle Yoga,
"Nov 11, 2021",11:30 am,Mobility Yoga - Lifestyle Yoga,
"Nov 10, 2021",11:30 am,Agni Yoga (Medium to Advance) - Lifestyle Yoga,
"Nov 9, 2021",11:30 am,YogiNa or Vinyasa Flow - Lifestyle Yoga,
"Nov 8, 2021",6:30 pm,Yin Yoga & Chakra Awakening Challenge - Sumit Manav,
"Nov 7, 2021",11:30 am,Yin Yoga - Shivani Negi,
"Nov 6, 2021",11:30 am,Dynamic Vinyasa - Lifestyle Yoga,
"Nov 3, 2021",11:30 am,Agni Yoga (Medium to Advance) - Lifestyle Yoga,
"Nov 1, 2021",11:30 am,Classical Hatha Yoga - Lifestyle Yoga,
"Oct 31, 2021",6:30 pm,Agni Yoga (Medium to Advance) - Lifestyle Yoga,
"Oct 30, 2021",11:30 am,Dynamic Vinyasa - Lifestyle Yoga,
"Oct 28, 2021",6:00 pm,YogiNa or Vinyasa Flow - Sumit Manav,
"Oct 27, 2021",6:00 pm,Yoga-Tox - Lifestyle Yoga,
"Oct 26, 2021",6:00 pm,Mobility Yoga - Lifestyle Yoga,
"Oct 25, 2021",11:30 am,Classical Hatha Yoga - Lifestyle Yoga,
"Oct 23, 2021",11:30 am,Dynamic Vinyasa - Lifestyle Yoga,
"Oct 21, 2021",6:00 pm,YogiNa or Vinyasa Flow - Shivani Negi,
"Oct 20, 2021",6:00 pm,Yoga-Tox - Sumit Manav,
"Oct 19, 2021",6:00 pm,Mobility Yoga - Tanu Dhawan,
"Oct 18, 2021",6:00 pm,Spine Healing - Sumit Manav,
"Oct 17, 2021",11:30 am,Yin Yoga - Shivani Negi,
"Oct 16, 2021",11:30 am,Dynamic Vinyasa - Shivani Negi,
"Oct 11, 2021",6:00 pm,Spine Healing - Shivani Negi,
"Oct 10, 2021",11:30 am,Spine Healing - Srishti Sharma,
"Oct 9, 2021",11:30 am,Dynamic Vinyasa - Srishti Sharma,
"Oct 7, 2021",6:00 pm,YogiNa or Vinyasa Flow - Srishti Sharma,
"Oct 6, 2021",6:00 pm,Yoga-Tox - Shivani Negi,
"Oct 5, 2021",6:00 pm,Mobility Yoga - Shivani Negi,
"Oct 4, 2021",6:00 pm,Spine Healing - Shivani Negi,
"Oct 2, 2021",6:00 pm,Yin & Yang - Shivani Negi,
"Sep 30, 2021",6:00 pm,Yoga-Tox - Shivani Negi,
"Sep 26, 2021",4:30 pm,Classical Hatha Yoga - Shivani Negi,
"Sep 25, 2021",6:00 pm,Suksham Yoga - Shivani Negi,
"Sep 23, 2021",6:30 pm,Yoga-Tox - Tanu Dhawan,
"Sep 21, 2021",6:00 pm,Mobility Yoga - Shivani Negi,
"Sep 19, 2021",4:30 pm,Classical Hatha Yoga - Tanu Dhawan,
"Sep 16, 2021",6:00 pm,Yoga-Tox - Shivani Negi,
"Sep 15, 2021",6:00 pm,YogiNa or Vinyasa Flow - Shivani Negi,
"Sep 14, 2021",6:00 pm,Mobility Yoga - Shivani Negi,
"Sep 13, 2021",6:00 pm,Yin & Yang - Tanu Dhawan,
"Sep 12, 2021",4:30 pm,Classical Hatha Yoga - Shivani Negi,
"Sep 11, 2021",11:30 am,Weight Loss Yoga Challenge online - Lifestyle Yoga,
"Sep 9, 2021",6:00 pm,Yoga-Tox - Tanu Dhawan,
"Sep 8, 2021",6:00 pm,YogiNa or Vinyasa Flow - Shivani Negi,
"Sep 6, 2021",6:00 pm,Yin & Yang - Shivani Negi,
"Sep 5, 2021",4:30 pm,Classical Hatha Yoga - Shivani Negi,
"Sep 5, 2021",11:30 am,Weight Loss Yoga Challenge online - Lifestyle Yoga,
"Sep 4, 2021",11:30 am,Weight Loss Yoga Challenge online - Lifestyle Yoga,
"Aug 31, 2021",11:30 am,Weight Loss Yoga Challenge online - Lifestyle Yoga,
"Aug 29, 2021",11:30 am,Weight Loss Yoga Challenge online - Lifestyle Yoga,
"Aug 26, 2021",6:00 pm,Yoga-Tox - Tanu Dhawan,
"Aug 25, 2021",6:00 pm,YogiNa or Vinyasa Flow - Tanu Dhawan,
"Aug 23, 2021",6:00 pm,Yin & Yang - Tanu Dhawan,
"Aug 22, 2021",11:30 am,Weight Loss Yoga Challenge online - Lifestyle Yoga,
"Aug 21, 2021",11:00 am,Weight Loss Yoga Challenge online - Lifestyle Yoga,
"Aug 19, 2021",6:00 pm,Yoga-Tox - Tanu Dhawan,
"Aug 18, 2021",6:00 pm,YogiNa or Vinyasa Flow - Tanu Dhawan,
"Aug 17, 2021",6:00 pm,Mobility Yoga - Sumit Manav,
"Aug 16, 2021",6:00 pm,Yin & Yang - Sumit Manav,
"Aug 15, 2021",11:30 am,Weight Loss Yoga Challenge online - Lifestyle Yoga,
"Aug 14, 2021",11:00 am,YogiNa or Vinyasa Flow - Tanu Dhawan,
"Aug 12, 2021",6:00 pm,Yoga-Tox - Shivani Negi,
"Aug 11, 2021",6:00 pm,YogiNa or Vinyasa Flow - Sumit Manav,
"Aug 9, 2021",6:00 pm,Yin Yoga & Chakra Awakening Challenge - Sumit Manav,
"Aug 8, 2021",4:30 pm,Yoga-Tox - Tanu Dhawan,
"Aug 7, 2021",4:30 pm,Yoga Alignment - Tanu Dhawan,
"Aug 5, 2021",6:00 pm,Yoga-Tox - Sumit Manav,
"Aug 4, 2021",6:00 pm,YogiNa or Vinyasa Flow - Sumit Manav,
"Aug 3, 2021",6:00 pm,Mobility Yoga - Shivani Negi,
"Aug 2, 2021",6:00 pm,Yin & Yang - Sumit Manav,
"Aug 1, 2021",11:30 am,Mobility Yoga - Shivani Negi,
"Jul 31, 2021",11:30 am,YogiNa or Vinyasa Flow - Shivani Negi,
"Jul 28, 2021",6:00 pm,YogiNa or Vinyasa Flow - Sumit Manav,
"Jul 27, 2021",6:00 pm,Mobility Yoga - Sumit Manav,
"Jul 25, 2021",4:30 pm,Classical Hatha Yoga - Shivani Negi,
"Jul 24, 2021",11:30 am,YogiNa or Vinyasa Flow - Shivani Negi,
"Jul 22, 2021",6:00 pm,Yoga-Tox - Tanu Dhawan,
"Jul 21, 2021",6:00 pm,YogiNa or Vinyasa Flow - Shivani Negi,
"Jul 18, 2021",4:30 pm,Classical Hatha Yoga - Shivani Negi,
"Jul 17, 2021",11:30 am,YogiNa or Vinyasa Flow - Shivani Negi,
"Jul 15, 2021",6:00 pm,Yoga-Tox - Sumit Manav,
"Jul 14, 2021",6:00 pm,Yoga-Strong - Tanu Dhawan,
"Jul 13, 2021",6:00 pm,Mobility Yoga - Tanu Dhawan,
"Jul 12, 2021",6:00 pm,Dynamic Vinyasa - Sumit Manav,
"Jul 8, 2021",6:00 pm,Yoga-Tox - Shivani Negi,
"Jul 7, 2021",6:00 pm,YogiNa or Vinyasa Flow - Tanu Dhawan,
"Jul 6, 2021",11:30 am,Classical Hatha Yoga - Tanu Dhawan,
"Jul 5, 2021",6:00 pm,Yin & Yang - Sumit Manav,
"Jul 4, 2021",4:30 pm,Classical Hatha Yoga - Tanu Dhawan,
"Jul 2, 2021",4:30 pm,14 DAYS YOGIC BREATHING AND PRANA CHALLENGE - Sumit Manav,
"Jul 1, 2021",6:00 pm,Yoga-Tox - Shivani Negi,
"Jun 30, 2021",5:00 pm,YogiNa or Vinyasa Flow - Tanu Dhawan,
"Jun 29, 2021",6:00 pm,Yoga-Tox - Sumit Manav,
"Jun 28, 2021",6:30 pm,Music Beat Power Yoga - Shivani Negi,
"Jun 28, 2021",5:00 pm,Yin & Yang - Shivani Negi,
"Jun 26, 2021",11:30 am,Yoga-Tox - Shivani Negi,
"Jun 24, 2021",6:00 pm,Full Moon Yoga & Meditation - Sumit Manav,
"Jun 24, 2021",11:30 am,Yoga-Strong - Shivani Negi,
"Jun 23, 2021",6:30 pm,Yoga-Strong - Tanu Dhawan,
"Jun 22, 2021",6:00 pm,Yoga-Tox - Sumit Manav,
"Jun 21, 2021",6:00 pm,108 sun salutations with Sumit Manav - Sumit Manav,
"Jun 21, 2021",4:30 pm,Yin & Yang - Sumit Manav,
"Jun 20, 2021",4:30 pm,Mobility Yoga - Shivani Negi,
"Jun 17, 2021",6:00 pm,Dynamic Vinyasa - Shivani Negi,
"Jun 16, 2021",4:00 pm,Yoga-Strong - Tanu Dhawan,
"Jun 11, 2021",4:30 pm,5 days Vinyasa Yoga Challenge - Sumit Manav,
"Jun 6, 2021",5:00 pm,Yoga-Tox - Tanu Dhawan,
